
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
00:13:37:A5:10:90, 2014-08-24 19:02:09, 2014-08-24 19:14:06,  9,  54, OPN ,       ,   , -61,      121,        0,   0.  0.  0.  0,   0, , 
72:73:CB:BC:D6:8A, 2014-08-24 19:02:04, 2014-08-24 19:14:06, 11,  54, WPA2WPA , CCMP TKIP,PSK, -63,      283,      717,   0.  0.  0.  0,  21, Lopez's Guest Network, 
70:73:CB:BC:D6:89, 2014-08-24 19:02:04, 2014-08-24 19:14:06, 11,  54, WPA2, CCMP,PSK, -66,      256,      161,   0.  0.  0.  0,   5, Lopez, 
38:60:77:1D:8D:FA, 2014-08-24 19:05:42, 2014-08-24 19:14:04,  1,  54, WPA2WPA , CCMP TKIP,PSK, -87,       29,        0,   0.  0.  0.  0,   6, 7238B9, 
70:73:CB:BC:D6:8A, 2014-08-24 19:02:18, 2014-08-24 19:14:43, 161,  54, WPA2, CCMP,PSK, -69,     4183,      652,   0.  0.  0.  0,  20, Lopez (2.4 GHz) 5GHz, 
72:73:CB:BC:D6:8B, 2014-08-24 19:02:18, 2014-08-24 19:14:43, 161,  54, WPA2WPA , CCMP TKIP,PSK, -68,     4185,      951,   0.  0.  0.  0,  21, Lopez's Guest Network, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
48:02:2A:51:DE:79, 2014-08-24 19:02:05, 2014-08-24 19:10:27,   0,     2831, 70:73:CB:BC:D6:8A, Lopez,Lopez (2.4 GHz) 5GHz
84:38:35:6D:D1:88, 2014-08-24 19:02:04, 2014-08-24 19:10:25, -67,      108, 72:73:CB:BC:D6:8A,
F4:1B:A1:20:AA:A2, 2014-08-24 19:02:04, 2014-08-24 19:07:14, -40,      128, 72:73:CB:BC:D6:8A, Lopez's Guest Network
70:DE:E2:1B:5A:C9, 2014-08-24 19:02:08, 2014-08-24 19:02:13, -76,       17, (not associated) , Lopez
00:13:37:89:B1:13, 2014-08-24 19:02:05, 2014-08-24 19:02:13, -73,        7, 70:73:CB:BC:D6:89, Lopez
94:44:44:32:A2:68, 2014-08-24 19:02:06, 2014-08-24 19:12:19, -55,      373, 70:73:CB:BC:D6:89,
00:08:55:61:E4:F9, 2014-08-24 19:02:18, 2014-08-24 19:13:19, -42,      130, 72:73:CB:BC:D6:8A,
F8:F1:B6:5E:6F:1B, 2014-08-24 19:02:04, 2014-08-24 19:14:07, -81,      526, 72:73:CB:BC:D6:8A,
00:73:E0:64:67:A7, 2014-08-24 19:02:05, 2014-08-24 19:14:11, -59,      234, 72:73:CB:BC:D6:8A, Lopez's Guest Network
B8:8D:12:05:08:A4, 2014-08-24 19:10:28, 2014-08-24 19:14:43,   0,      360, 70:73:CB:BC:D6:8A, Lopez (2.4 GHz) 5GHz

